airport_ident,type,name,iso_country,iso_region,municipality
14TS,small_airport,O S Wyatt Airport,US,US-TX,Realitos
15AR,small_airport,Taylor Airport,US,US-AR,Brickeys
15FL,small_airport,Cannon Creek Airpark,US,US-FL,Lake City
16X,small_airport,Propwash Airport,US,US-TX,Justin
18AZ,small_airport,Sky Ranch At Carefree Airport,US,US-AZ,Carefree
18TA,small_airport,West Kerr Ranch Airport,US,US-TX,Junction
18TE,small_airport,Alert Field,US,US-TX,Big Sandy
1AZ0,small_airport,Bishop Airfield,US,US-AZ,Mobile
1CA1,small_airport,Belridge Strip,US,US-CA,McKittrick
1CD2,small_airport,Tonga Airport,US,US-CO,Platteville
1GA0,small_airport,Eagle Neck Airport,US,US-GA,Shellman Bluff
1L4,small_airport,Kidwell Airport,US,US-NV,Cal Nev Ari
1MS8,small_airport,Columbus Air Force Base Auxiliary Field (Gunshy),US,US-MS,Shuqualak
1WA6,small_airport,Fall City Airport,US,US-WA,Fall City
1XS8,small_airport,Pinon Ranch Airport,US,US-TX,Brackettville
20GA,small_airport,Earl L. Small Jr. Field/Stockmar Airport,US,US-GA,Villa Rica
22XS,small_airport,Longhorn Auxiliary Landing Strip,US,US-TX,Fort Hood
23XS,small_airport,Shorthorn Auxiliary Landing Strip,US,US-TX,Fort Hood
24CL,small_airport,Boswell Airport,US,US-CA,Corcoran
25NC,small_airport,Smith Air Strip,US,US-NC,Asheboro
25TA,small_airport,Ferris Airport,US,US-TX,Baytown
25TS,small_airport,Miller Airfield,US,US-TX,Dalhart
27AZ,small_airport,Eagle Roost Airpark,US,US-AZ,Aguila
28CL,closed,Borax Heliport,US,US-CA,Boron
28TA,small_airport,Duval County Ranch Co Airport,US,US-TX,Freer
29AZ,small_airport,Paloma Ranch Airport,US,US-AZ,Paloma
29TX,small_airport,Lockett Airport,US,US-TX,Vernon
2CL9,small_airport,Mustang Airport,US,US-CA,Galt
2CN4,small_airport,Wonderful Pistachios & Almonds Airport,US,US-CA,Lost Hills
2D7,small_airport,Beach City Airport,US,US-OH,Beach City
2IG4,small_airport,Ed-Air Airport,US,US-IN,Oaktown
2OR1,small_airport,Big Muddy Ranch Airport,US,US-OR,Fossil
2TA6,small_airport,Pyramid Ranch Airport,US,US-TX,Fairfield
2TA8,small_airport,El Coyote Ranch Airport,US,US-TX,Encino
2TE8,closed,Wagner-Braxdale Airport,US,US-TX,Crystal City
2TX3,small_airport,La Fonda Ranch Airport,US,US-TX,Brackettville
2TX4,small_airport,Lewis Ranch Airport,US,US-TX,Encinal
2VG2,small_airport,Upperville Airport,US,US-VA,Upperville
2XA0,small_airport,Foard County Airport,US,US-TX,Crowell
2XS3,small_airport,Glad Oaks Airport,US,US-TX,Palestine
2XS5,small_airport,Cross Triangle Ranch Airport,US,US-TX,Twin Sisters
31VA,small_airport,Aberdeen Field,US,US-VA,Smithfield
34AZ,closed,Gila River Memorial Airport,US,US-AZ,Chandler
36CA,small_airport,Stone Land County Airport,US,US-CA,Stratford
36CN,closed,Blackwell Land Company Airport,US,US-CA,Lost Hills
36WI,small_airport,Holland Air Park,US,US-WI,Holmen
38AZ,closed,Peabody Bedard Field,US,US-AZ,Kayenta
38CA,closed,Cashen Airport,US,US-CA,Wasco
38XS,small_airport,San Rafael Ranch Airport,US,US-TX,Santa Elena
3B3,small_airport,Sterling Airport,US,US-MA,Sterling
3MO4,small_airport,Penman Airport,US,US-MO,Portageville
3OH0,small_airport,Andy Barnhart Memorial Airport,US,US-OH,New Carlisle
3TA0,small_airport,Four Square Ranch Airport,US,US-TX,Rocksprings
3TA5,small_airport,Blanco Landing Airport,US,US-TX,Blanco
3TA6,small_airport,Spring Ranch Airport,US,US-TX,Brackettville
3TS1,small_airport,White Wings Airport,US,US-TX,Wimberley
3XS8,small_airport,Ken Ada Ranch Airport,US,US-TX,Waller
00A,heliport,Total Rf Heliport,US,US-PA,Bensalem
00AK,small_airport,Lowell Field,US,US-AK,Anchor Point
00AL,small_airport,Epps Airpark,US,US-AL,Harvest
00AN,small_airport,Katmai Lodge Airport,US,US-AK,King Salmon
00AR,closed,Newport Hospital & Clinic Heliport,US,US-AR,Newport
00AS,small_airport,Fulton Airport,US,US-OK,Alex
00AZ,small_airport,Cordes Airport,US,US-AZ,Cordes
00CO,closed,Cass Field,US,US-CO,Briggsdale
00FA,small_airport,Grass Patch Airport,US,US-FL,Bushnell
00FD,closed,Ringhaver Heliport,US,US-FL,Riverview
00FL,small_airport,River Oak Airport,US,US-FL,Okeechobee
00GA,small_airport,Lt World Airport,US,US-GA,Lithonia
00GE,heliport,Caffrey Heliport,US,US-GA,Hiram
00HI,heliport,Kaupulehu Heliport,US,US-HI,Kailua-Kona
00ID,small_airport,Delta Shores Airport,US,US-ID,Clark Fork
00IL,small_airport,Hammer Airport,US,US-IL,Polo
00IN,heliport,St Mary Medical Center Heliport,US,US-IN,Hobart
00IS,small_airport,Hayenga's Cant Find Farms Airport,US,US-IL,Kings
00KS,small_airport,Hayden Farm Airport,US,US-KS,Gardner
00KY,small_airport,Robbins Roost Airport,US,US-KY,Stanford
00LA,heliport,Shell Chemical East Site Heliport,US,US-LA,Gonzales
00LL,heliport,Ac & R Components Heliport,US,US-IL,Chatham
00LS,small_airport,Lejeune Airport,US,US-LA,Crowley
00MD,small_airport,Slater Field,US,US-MD,Federalsburg
00MI,heliport,Dow Chemical Heliport,US,US-MI,Ludington
00MN,small_airport,Battle Lake Municipal Airport,US,US-MN,Battle Lake
00MO,small_airport,Cooper Flying Service Airport,US,US-MO,Alba
00N,small_airport,Bucks Airport,US,US-NJ,Bridgeton
00NC,small_airport,North Raleigh Airport,US,US-NC,Louisburg
00NJ,heliport,Colgate-Piscataway Heliport,US,US-NJ,New Brunswick
00NR,heliport,Rodanthe Dare County Heliport,US,US-NC,Rodanthe
00NY,small_airport,Weiss Airfield,US,US-NY,West Bloomfield
00OH,closed,Exit 3 Airport,US,US-OH,Wauseon
00OI,heliport,Miami Valley Hospital Heliport,US,US-OH,Dayton
