airport_ident,elevation_ft,runway_length_ft,runway_width_ft,frequency_mhz,runway_lighted,runway_closed
01NC,65,3200,75,,1,0
01NE,3000,2750,50,,0,0
01NH,835,600,50,,0,0
01NJ,10,125,80,,0,0
01NM,3630,2700,70,,0,0
01NR,40,50,50,,0,0
01NV,4600,2000,60,,0,0
01NY,100,100,75,,0,0
01OH,775,100,100,,1,0
01OI,1140,30,30,,0,0
01OK,1525,2640,25,,1,0
01OL,1060,1600,75,,0,0
01OR,4346,4800,60,,0,0
01PA,1215,60,60,,0,0
01PN,960,1700,100,,0,0
01PS,1040,1200,120,,0,0
01SC,779,2580,118,,1,0
01TA,630,30,30,,0,0
01TE,505,2433,55,,0,0
01TN,370,2700,100,,0,0
01TX,610,500,60,,0,0
01U,5124,2700,75,,0,0
01UT,6000,3200,40,,0,0
01VA,500,1500,60,,0,0
01WA,154,36,36,,0,0
01WI,930,2300,120,,0,0
01WN,103,40,40,,1,0
01WT,20,28,28,,0,0
01WY,4250,4360,75,,0,0
01XA,715,50,50,,1,0
01XS,500,50,50,,0,0
02AK,190,2200,45,,0,0
02AL,61,2000,150,,0,0
02AR,264,4400,45,,0,0
02AZ,4200,4500,80,,0,0
02CA,122,55,55,,0,0
02CD,165,2500,100,,0,0
02CL,5160,3000,60,,0,0
02CO,7615,2670,50,,0,0
02CT,540,50,50,,0,0
02FA,121,2485,150,,0,0
02FD,209,3443,150,,0,0
02FL,215,1800,100,,0,0
02GA,884,1200,100,,0,0
02GE,710,3400,100,,0,0
02HI,9,100,100,,0,0
02IA,1160,50,50,,0,0
02ID,5634,2000,100,,0,0
02II,925,1100,100,,0,0
02IN,904,1020,150,,0,0
02IS,762,40,40,,0,0
02KS,1170,1650,100,,0,0
02KY,760,100,100,,0,0
02LA,168,20,20,,0,0
02LS,25,24,24,,0,0
02MA,9,50,50,,0,0
02MD,141,2000,75,,0,0
02ME,700,2400,60,,0,0
02MI,850,2000,100,,0,0
02MN,1070,1897,192,,0,0
02MO,650,2200,50,,0,0
02MS,153,2150,60,,0,0
02MU,1550,1900,125,,0,0
02NC,809,100,100,,0,0
02NH,1180,3000,300,,0,0
02NR,25,50,50,,0,0
02NV,4443,2200,50,,0,0
02NY,435,25,25,,0,0
02OH,614,2750,50,,0,0
02OI,950,1500,75,,0,0
02OR,705,2000,30,,0,0
02P,591,100,100,,1,0
02PA,1070,60,50,,0,0
02PN,390,40,40,,0,0
02PR,15,2000,50,,0,0
02PS,1700,500,100,,0,0
02SC,111,3600,150,,0,0
02T,5830,4050,60,,0,0
02TA,5,32,32,,0,0
02TE,560,40,40,,1,0
02TN,840,1600,120,,0,0
02TX,3235,4800,80,,0,0
02UT,4412,4000,30,,0,0
02VA,320,3000,80,,0,0
02WA,690,2650,50,,0,0
02WI,920,2200,60,,0,0
02WN,2150,1500,30,,0,0
02XA,675,1950,50,,0,0
02XS,510,1500,40,,0,0
03AK,150,1000,70,,0,0
03AL,628,50,50,,1,0
03AR,350,117,117,,1,0
03AZ,4275,3600,60,,1,0
03CA,634,40,40,,1,0
03CO,4950,4000,30,,0,0
03FA,70,2000,200,,0,0
03FD,115,2000,50,,0,0
03FL,20,50,40,,0,0
03GA,238,1990,65,,0,0
03I,680,2375,90,,0,0
03IA,954,2000,150,,0,0
03ID,3180,1800,100,,0,0
03II,465,1000,200,,0,0
03IL,750,2600,105,,0,0
03IS,580,40,40,,0,0
03KS,1160,25,25,,0,0
03KY,385,2300,80,,0,0
